having_baby_deductible,having_baby_copayment,having_baby_coinsurance,having_baby_limit,having_diabetes_deductible,having_diabetes_copayment,having_diabetes_coinsurance,having_diabetes_limit,having_simple_fracture_deductible,having_simple_fracture_copayment,having_simple_fracture_coinsurance,having_simple_fracture_limit,sbc_id,plan_id
8000,0,1100,60,5400,0,0,20,2800,0,0,0,1,32542KS0090004-00
0,0,0,60,0,0,0,20,0,0,0,0,2,32542KS0090004-01
8000,0,1100,60,5400,0,0,20,2800,0,0,0,3,32542KS0090004-02
4950,10,3700,60,100,1500,0,20,2500,200,0,0,4,32542KS0090004-03
4950,10,3700,60,100,1500,0,20,2500,200,0,0,5,75841NH0090018-00
0,0,0,60,0,0,0,20,0,0,0,0,6,75841NH0090018-01
4950,10,3700,60,100,1500,0,20,2500,200,0,0,7,75841NH0090018-02
4100,0,3200,60,100,1400,0,20,2500,200,0,0,8,75841NH0090018-03
550,0,2100,60,100,900,0,20,550,200,500,0,9,75841NH0090018-04
40,0,800,60,40,700,20,20,40,200,500,0,10,75841NH0090018-05
4950,10,3700,60,100,1500,0,20,2500,200,0,0,11,75841NH0090018-06
4950,10,3700,60,100,1500,0,20,2500,200,0,0,12,75841NH0090021-00
0,0,0,60,0,0,0,20,0,0,0,0,13,75841NH0090021-01
4950,10,3700,60,100,1500,0,20,2500,200,0,0,14,75841NH0090021-02
4100,0,3200,60,100,1400,0,20,2500,200,0,0,15,75841NH0090021-03
550,0,2100,60,100,900,0,20,550,200,500,0,16,75841NH0100008-00
40,0,800,60,40,700,20,20,40,200,500,0,17,75841NH0100008-01
1600,10,3600,60,100,1500,0,20,1600,200,90,0,18,75841NH0100008-02
1600,10,3600,60,100,1500,0,20,1600,200,90,0,19,75841NH0100008-03
0,0,0,60,0,0,0,20,0,0,0,0,20,75841NH0100008-04
1600,10,3600,60,100,1500,0,20,1600,200,90,0,21,75841NH0100008-05
1600,10,3600,60,100,1500,0,20,1600,200,90,0,22,75841NH0100008-06
1600,10,3600,60,100,1500,0,20,1600,200,90,0,23,75841NH0100021-00
0,0,0,60,0,0,0,20,0,0,0,0,24,75841NH0100021-01
1600,10,3600,60,100,1500,0,20,1600,200,90,0,25,75841NH0100021-02
1600,10,3600,60,100,1500,0,20,1600,200,90,0,26,75841NH0100021-03
1600,10,3600,60,100,1500,0,20,1600,200,90,0,27,64353OH0010002-00
0,0,0,60,0,0,0,20,0,0,0,0,28,64353OH0010002-01
1600,10,3600,60,100,1500,0,20,1600,200,90,0,29,64353OH0010002-02
8000,0,1100,60,5400,0,0,20,2800,0,0,0,30,64353OH0010002-03
8000,0,1100,60,5400,0,0,20,2800,0,0,0,31,64353OH0010002-04
0,0,0,60,0,0,0,20,0,0,0,0,32,64353OH0010002-05
8000,0,1100,60,5400,0,0,20,2800,0,0,0,33,64353OH0010002-06
5000,10,3700,60,4300,500,0,20,2800,10,0,0,34,64353OH0040002-00
5000,10,3700,60,4300,500,0,20,2800,10,0,0,35,64353OH0040002-01
0,0,0,60,0,0,0,20,0,0,0,0,36,64353OH0040002-02
5000,10,3700,60,4300,500,0,20,2800,10,0,0,37,64353OH0040002-03
5000,10,3700,60,4300,500,0,20,2800,10,0,0,38,64353OH0040002-04
5000,10,3700,60,4300,500,0,20,2800,10,0,0,39,64353OH0040002-05
0,0,0,60,0,0,0,20,0,0,0,0,40,64353OH0040002-06
5000,10,3700,60,4300,500,0,20,2800,10,0,0,41,18167UT0010002-00
2600,10,3000,60,400,1300,0,20,2600,10,60,0,42,18167UT0010002-01
2600,10,3000,60,400,1300,0,20,2600,10,60,0,43,18167UT0010002-02
0,0,0,60,0,0,0,20,0,0,0,0,44,18167UT0010002-03
2600,10,3000,60,400,1300,0,20,2600,10,60,0,45,18167UT0010002-04
2400,10,3000,60,400,1300,0,20,2400,10,100,0,46,18167UT0010002-05
500,0,2000,60,400,1300,0,20,500,10,700,0,47,18167UT0010002-06
40,0,800,60,40,600,100,20,40,10,700,0,48,18167UT0040002-00
2600,10,3000,60,400,1300,0,20,2600,10,60,0,49,18167UT0040002-01
2600,10,3000,60,400,1300,0,20,2600,10,60,0,50,18167UT0040002-02
0,0,0,60,0,0,0,20,0,0,0,0,51,18167UT0040002-03
2600,10,3000,60,400,1300,0,20,2600,10,60,0,52,18167UT0040002-04
2400,10,3000,60,400,1300,0,20,2400,10,100,0,53,18167UT0040002-05
500,0,2000,60,400,1300,0,20,500,10,700,0,54,18167UT0040002-06
40,0,800,60,40,600,100,20,40,10,700,0,55,40047MI0010002-00
5000,10,3700,60,4300,500,0,20,2800,10,0,0,56,40047MI0010002-01
5000,10,3700,60,4300,500,0,20,2800,10,0,0,57,40047MI0010002-02
0,0,0,60,0,0,0,20,0,0,0,0,58,40047MI0010002-03
5000,10,3700,60,4300,500,0,20,2800,10,0,0,59,40047MI0010002-04
2600,10,3000,60,400,1300,0,20,2600,10,60,0,60,40047MI0010002-05
2600,10,3000,60,400,1300,0,20,2600,10,60,0,61,40047MI0010002-06
0,0,0,60,0,0,0,20,0,0,0,0,62,40047MI0080002-00
2600,10,3000,60,400,1300,0,20,2600,10,60,0,63,40047MI0080002-01
2400,10,3000,60,400,1300,0,20,2400,10,100,0,64,40047MI0080002-02
500,0,2000,60,400,1300,0,20,500,10,700,0,65,40047MI0080002-03
40,0,800,60,40,600,100,20,40,10,700,0,66,40047MI0080002-04
6500,0,2600,60,100,1500,0,20,2500,200,0,0,67,40047MI0080002-05
6500,0,2600,60,100,1500,0,20,2500,200,0,0,68,40047MI0080002-06
0,0,0,60,0,0,0,20,0,0,0,0,69,94419IN0010004-00
6500,0,2600,60,100,1500,0,20,2500,200,0,0,70,94419IN0010004-01
4400,0,2900,60,100,1300,0,20,2500,200,0,0,71,94419IN0010004-02
700,0,1800,60,100,1200,0,20,700,200,400,0,72,94419IN0010004-03
100,0,700,60,100,700,0,20,100,200,400,0,73,94419IN0010019-00
3000,0,4200,60,3000,200,300,20,2800,0,0,0,74,94419IN0010019-01
3000,0,4200,60,3000,200,300,20,2800,0,0,0,75,94419IN0010019-02
0,0,0,60,0,0,0,20,0,0,0,0,76,94419IN0010019-03
3000,0,4200,60,3000,200,300,20,2800,0,0,0,77,94419IN0010011-00
2550,0,4300,60,2550,100,400,20,2550,0,60,0,78,94419IN0010011-01
800,0,1700,60,400,100,900,20,800,0,400,0,79,94419IN0010011-02
50,0,900,60,50,40,500,20,50,0,400,0,80,94419IN0010011-03
5500,10,3500,60,100,1400,0,20,2500,200,0,0,81,94419IN0010011-04
5500,10,3500,60,100,1400,0,20,2500,200,0,0,82,94419IN0010011-05
0,0,0,60,0,0,0,20,0,0,0,0,83,94419IN0010011-06
5500,10,3500,60,100,1400,0,20,2500,200,0,0,84,94419IN0010006-00
4100,0,3200,60,100,1400,0,20,2500,200,0,0,85,94419IN0010006-01
600,0,1900,60,100,1200,0,20,600,200,500,0,86,94419IN0010006-02
75,0,700,60,75,700,10,20,75,200,500,0,87,94419IN0010006-03
4950,10,3700,60,100,1500,0,20,2500,200,0,0,88,62141AR0080007-00
4950,10,3700,60,100,1500,0,20,2500,200,0,0,89,62141AR0080007-01
0,0,0,60,0,0,0,20,0,0,0,0,90,62141AR0080007-02
4950,10,3700,60,100,1500,0,20,2500,200,0,0,91,62141AR0080007-03
4100,0,3200,60,100,1400,0,20,2500,200,0,0,92,62141AR0080007-04
550,0,2100,60,100,900,0,20,550,200,500,0,93,62141AR0080007-05
40,0,800,60,40,700,20,20,40,200,500,0,94,62141AR0080007-06
5600,0,3500,60,4700,300,0,20,2800,0,0,0,95,62141AR0080026-00
5600,0,3500,60,4700,300,0,20,2800,0,0,0,96,62141AR0080026-01
0,0,0,60,0,0,0,20,0,0,0,0,97,62141AR0080026-02
5600,0,3500,60,4700,300,0,20,2800,0,0,0,98,62141AR0080026-03
6000,0,3100,60,4700,400,0,20,2800,0,0,0,99,62141AR0100007-00
6000,0,3100,60,4700,400,0,20,2800,0,0,0,100,62141AR0100007-01
0,0,0,60,0,0,0,20,0,0,0,0,101,62141AR0100007-02
6000,0,3100,60,4700,400,0,20,2800,0,0,0,102,62141AR0100007-03
8000,0,1100,60,5400,0,0,20,2800,0,0,0,103,62141AR0100007-04
8000,0,1100,60,5400,0,0,20,2800,0,0,0,104,62141AR0100007-05
0,0,0,60,0,0,0,20,0,0,0,0,105,62141AR0100007-06
8000,0,1100,60,5400,0,0,20,2800,0,0,0,106,62141AR0100026-00
5000,10,3700,60,4300,500,0,20,2800,10,0,0,107,62141AR0100026-01
5000,10,3700,60,4300,500,0,20,2800,10,0,0,108,62141AR0100026-02
0,0,0,60,0,0,0,20,0,0,0,0,109,62141AR0100026-03
5000,10,3700,60,4300,500,0,20,2800,10,0,0,110,41921VA0020073-00
1600,10,3600,60,100,1500,0,20,1600,200,90,0,111,41921VA0020073-01
1600,10,3600,60,100,1500,0,20,1600,200,90,0,112,41921VA0020073-02
0,0,0,60,0,0,0,20,0,0,0,0,113,41921VA0020073-03
1600,10,3600,60,100,1500,0,20,1600,200,90,0,114,41921VA0020064-00
3000,0,4200,60,3000,200,300,20,2800,0,0,0,115,41921VA0020064-01
3000,0,4200,60,3000,200,300,20,2800,0,0,0,116,41921VA0020064-02
0,0,0,60,0,0,0,20,0,0,0,0,117,41921VA0020064-03
3000,0,4200,60,3000,200,300,20,2800,0,0,0,118,41921VA0020064-04
2550,0,4300,60,2550,100,400,20,2550,0,60,0,119,41921VA0020064-05
800,0,1700,60,400,100,900,20,800,0,400,0,120,41921VA0020064-06
50,0,900,60,50,40,500,20,50,0,400,0,121,15105GA0020017-00
5500,10,3500,60,100,1400,0,20,2500,200,0,0,122,15105GA0020017-01
5500,10,3500,60,100,1400,0,20,2500,200,0,0,123,15105GA0020017-02
0,0,0,60,0,0,0,20,0,0,0,0,124,15105GA0020017-03
5500,10,3500,60,100,1400,0,20,2500,200,0,0,125,99248TN0060107-00
4100,0,3200,60,100,1400,0,20,2500,200,0,0,126,99248TN0060107-01
600,0,1900,60,100,1200,0,20,600,200,500,0,127,99248TN0060107-02
75,0,700,60,75,700,10,20,75,200,500,0,128,99248TN0060107-03
4950,10,3700,60,100,1500,0,20,2500,200,0,0,129,58840TX0110049-02
4950,10,3700,60,100,1500,0,20,2500,200,0,0,130,58840TX0110050-02
0,0,0,60,0,0,0,20,0,0,0,0,131,58840TX0110053-02
4950,10,3700,60,100,1500,0,20,2500,200,0,0,132,58840TX0110054-02
4100,0,3200,60,100,1400,0,20,2500,200,0,0,133,58840TX0110051-02
550,0,2100,60,100,900,0,20,550,200,500,0,134,58840TX0110052-02
40,0,800,60,40,700,20,20,40,200,500,0,135,97667AZ0110030-00
6500,0,2600,60,100,1500,0,20,2500,200,0,0,136,97667AZ0110030-01
6500,0,2600,60,100,1500,0,20,2500,200,0,0,137,97667AZ0110030-02
0,0,0,60,0,0,0,20,0,0,0,0,138,97667AZ0110030-03
6500,0,2600,60,100,1500,0,20,2500,200,0,0,139,97667AZ0110031-00
4400,0,2900,60,100,1300,0,20,2500,200,0,0,140,97667AZ0110031-01
700,0,1800,60,100,1200,0,20,700,200,400,0,141,97667AZ0110031-02
100,0,700,60,100,700,0,20,100,200,400,0,142,97667AZ0110031-03
2600,10,3000,60,400,1300,0,20,2600,10,60,0,143,97667AZ0110031-04
2600,10,3000,60,400,1300,0,20,2600,10,60,0,144,97667AZ0110031-05
0,0,0,60,0,0,0,20,0,0,0,0,145,97667AZ0110031-06
2600,10,3000,60,400,1300,0,20,2600,10,60,0,146,69803NC0010005-00
2400,10,3000,60,400,1300,0,20,2400,10,100,0,147,69803NC0010005-01
500,0,2000,60,400,1300,0,20,500,10,700,0,148,69803NC0010005-02
40,0,800,60,40,600,100,20,40,10,700,0,149,69803NC0010005-03
6500,0,2600,60,100,1500,0,20,2500,200,0,0,150,69803NC0010017-00
6500,0,2600,60,100,1500,0,20,2500,200,0,0,151,69803NC0010017-01
0,0,0,60,0,0,0,20,0,0,0,0,152,69803NC0010017-02
6500,0,2600,60,100,1500,0,20,2500,200,0,0,153,69803NC0010017-03
4400,0,2900,60,100,1300,0,20,2500,200,0,0,154,69803NC0010017-04
700,0,1800,60,100,1200,0,20,700,200,400,0,155,69803NC0010017-05
100,0,700,60,100,700,0,20,100,200,400,0,156,69803NC0010017-06
6500,0,2600,60,100,1500,0,20,2500,200,0,0,157,69803NC0010043-00
6500,0,2600,60,100,1500,0,20,2500,200,0,0,158,69803NC0010043-01
0,0,0,60,0,0,0,20,0,0,0,0,159,69803NC0010043-02
6500,0,2600,60,100,1500,0,20,2500,200,0,0,160,69803NC0010043-03
4400,0,2900,60,100,1300,0,20,2500,200,0,0,161,69803NC0010012-00
700,0,1800,60,100,1200,0,20,700,200,400,0,162,69803NC0010012-01
100,0,700,60,100,700,0,20,100,200,400,0,163,69803NC0010012-02
9100,0,0,60,5200,100,0,20,2800,0,0,0,164,69803NC0010012-03
9100,0,0,60,5200,100,0,20,2800,0,0,0,165,73943NC0070047-00
9100,0,0,60,5200,100,0,20,2800,0,0,0,166,73943NC0070047-01
9100,0,0,60,5200,100,0,20,2800,0,0,0,167,73943NC0070047-02
9100,0,0,60,5200,100,0,20,2800,0,0,0,168,73943NC0070047-03
9100,0,0,60,5200,100,0,20,2800,0,0,0,169,73033SC0010003-00
9100,0,0,60,5200,100,0,20,2800,0,0,0,170,73033SC0010003-01
9100,0,0,60,5200,100,0,20,2800,0,0,0,171,73033SC0010003-02
9100,0,0,60,5400,0,0,20,2800,0,0,0,172,73033SC0010003-03
9100,0,0,60,5400,0,0,20,2800,0,0,0,173,73033SC0010012-00
0,0,0,60,0,0,0,20,0,0,0,0,174,73033SC0010012-01
9100,0,0,60,5400,0,0,20,2800,0,0,0,175,73033SC0010012-02
7500,0,1500,60,4000,700,0,20,2100,500,0,0,176,73033SC0010012-03
7500,0,1500,60,4000,700,0,20,2100,500,0,0,177,73033SC0010012-04
0,0,0,60,0,0,0,20,0,0,0,0,178,73033SC0010012-05
7500,0,1500,60,4000,700,0,20,2100,500,0,0,179,73033SC0010012-06
5800,10,2700,60,100,1600,0,20,2100,400,0,0,180,76589TX0010024-00
5800,10,2700,60,100,1600,0,20,2100,400,0,0,181,76589TX0010024-01
0,0,0,60,0,0,0,20,0,0,0,0,182,76589TX0010024-02
5800,10,2700,60,100,1600,0,20,2100,400,0,0,183,76589TX0010024-03
5700,0,1500,60,100,1500,0,20,2100,300,0,0,184,76589TX0010024-04
800,0,2200,60,100,1100,0,20,800,200,400,0,185,76589TX0010024-05
0,0,1700,60,0,600,30,20,0,30,500,0,186,76589TX0010024-06
2000,10,2400,60,100,1400,0,20,2000,300,20,0,187,76589TX0010019-00
2000,10,2400,60,100,1400,0,20,2000,300,20,0,188,76589TX0010019-01
0,0,0,60,0,0,0,20,0,0,0,0,189,76589TX0010019-02
2000,10,2400,60,100,1400,0,20,2000,300,20,0,190,76589TX0010019-03
9100,0,0,60,5400,0,0,20,2800,0,0,0,191,76589TX0010019-04
9100,0,0,60,5400,0,0,20,2800,0,0,0,192,76589TX0010019-05
0,0,0,60,0,0,0,20,0,0,0,0,193,76589TX0010019-06
9100,0,0,60,5400,0,0,20,2800,0,0,0,194,29341OH0100005-00
9100,0,0,60,5400,0,0,20,2800,0,0,0,195,29341OH0100005-01
9100,0,0,60,5400,0,0,20,2800,0,0,0,196,29341OH0100005-02
0,0,0,60,0,0,0,20,0,0,0,0,197,29341OH0100005-03
9100,0,0,60,5400,0,0,20,2800,0,0,0,198,29341OH0200005-00
9100,0,0,60,5400,0,0,20,2800,0,0,0,199,29341OH0200005-01
9100,0,0,60,5400,0,0,20,2800,0,0,0,200,29341OH0200005-02
0,0,0,60,0,0,0,20,0,0,0,0,201,29341OH0200005-03
9100,0,0,60,5400,0,0,20,2800,0,0,0,202,29341OH0100017-00
7500,0,1500,60,4000,700,0,20,2100,500,0,0,203,29341OH0100017-01
7500,0,1500,60,4000,700,0,20,2100,500,0,0,204,29341OH0100017-02
0,0,0,60,0,0,0,20,0,0,0,0,205,29341OH0100017-03
7500,0,1500,60,4000,700,0,20,2100,500,0,0,206,29341OH0100017-04
7500,0,1500,60,4000,700,0,20,2100,500,0,0,207,29341OH0100017-05
7500,0,1500,60,4000,700,0,20,2100,500,0,0,208,29341OH0100017-06
0,0,0,60,0,0,0,20,0,0,0,0,209,29341OH0200017-00
7500,0,1500,60,4000,700,0,20,2100,500,0,0,210,29341OH0200017-01
7500,0,1500,60,4000,700,0,20,2100,500,0,0,211,29341OH0200017-02
7500,0,1500,60,4000,700,0,20,2100,500,0,0,212,29341OH0200017-03
